Player,GS,Cmp%_zscore,Yds_zscore,Y/G_zscore,TD%_zscore,Int%_zscore,Sk%_zscore,Rate_zscore,ANY/A_zscore
Ryan Finley,3,-2.49,-1.08,-0.53,-0.68,-0.16,0.81,-1.21,-0.97
Ryan Fitzpatrick,139,-0.01,0.35,0.22,0.32,0.22,-0.43,0.02,0.13
Ryan Leaf,21,-1.63,-0.38,-0.36,-0.9,1.56,0.38,-1.7,-1.42
Ryan Lindley,4,-1.61,-1.22,-1.36,-2.23,1.17,-0.07,-2.54,-2.56
Ryan Mallett,2,-1.24,-1.33,-1.06,-0.8,0.02,-1.75,-1.19,-0.8
Ryan Tannehill,98,0.37,0.62,0.33,0.29,-0.17,0.43,0.34,0.08
Sage Rosenfels,12,0.6,-0.44,0.26,0.66,1.01,-0.81,0.14,0.34
Sam Bradford,83,0.35,0.49,0.45,-0.24,-0.51,-0.15,0.17,0.02
Sam Darnold,26,-0.56,0.4,0.31,0.09,0.3,-0.18,-0.23,-0.08
Sammy Garza,1,0.33,-0.89,-0.73,0.14,2.21,-0.62,-0.36,0.08
Scott Brunner,21,-0.9,0.64,0.27,-0.44,0.1,-0.51,-0.55,-0.08
Scott Campbell,13,-0.42,0.14,-0.46,-0.03,0.62,0.19,-0.46,-0.33
Scott Covington,1,-2.03,-1.48,-2.32,-2.17,-1.94,4.85,-1.34,-2.97
Scott Mitchell,71,-0.16,0.68,0.6,0.27,0.04,-0.34,0.07,0.23
Scott Secules,4,-0.11,-0.73,-1.37,-1.33,1.61,-0.64,-1.27,-0.75
Scott Tinsley,3,0.41,-0.44,0.92,-0.34,0.2,-0.34,0.02,0.18
Scott Tolzien,4,-0.36,-1.32,-0.49,-1.63,2.4,0.27,-1.6,-1.31
Scott Zolak,7,-1.11,-1.02,-1.23,-0.61,-0.26,0.77,-0.7,-0.87
Sean Mannion,2,-0.55,-1.33,-2.34,-2.02,1.26,-0.9,-1.67,-1.25
Sean Salisbury,12,-0.12,-0.5,-0.67,-0.09,-0.38,-0.28,0.12,0.27
Seneca Wallace,22,0.03,-0.81,-1.12,0.2,-0.38,0.01,0.17,0.0
Shane Matthews,22,0.26,-0.56,0.07,-0.08,-0.34,-0.98,-0.09,-0.16
Shaun Hill,35,0.4,-0.21,0.25,0.08,-0.35,-0.02,0.32,0.2
Shaun King,24,-0.27,0.08,-0.18,0.2,-0.23,-0.03,-0.01,-0.11
Shawn Halloran,2,-0.92,-0.81,-0.79,-1.45,-0.67,0.32,-0.76,-0.24
Spergon Wynn,3,-2.16,-1.34,-1.13,-1.69,0.49,1.38,-2.38,-2.4
Stan Gelbaugh,12,-1.51,-0.5,-0.49,-0.69,0.25,1.12,-1.17,-1.38
Stan Humphries,81,0.11,0.73,0.68,-0.05,-0.19,-0.58,0.15,0.27
Stephen McGee,1,-1.21,-1.16,-0.84,0.37,-1.28,-0.14,0.25,0.18
Steve Bartkowski,45,1.16,0.29,0.46,-0.1,-1.06,0.59,0.85,0.34
Steve Beuerlein,102,0.2,0.61,0.55,0.45,-0.07,0.54,0.42,0.34
Steve Bono,42,-0.16,0.3,0.24,0.01,-0.6,-0.79,0.1,0.2
Steve Bradley,1,-1.91,-1.0,-0.93,2.07,4.74,0.93,-1.16,-2.44
Steve DeBerg,99,0.41,0.77,0.61,0.27,-0.33,-0.59,0.44,0.48
Steve Dils,24,-0.71,-0.02,-0.56,-0.49,-0.42,-0.04,-0.47,-0.32
Steve Fuller,14,0.16,-0.96,-1.38,-0.81,-0.54,1.06,0.21,0.15
Steve Grogan,49,-0.12,-0.27,0.37,0.44,0.11,-0.37,0.24,0.5
Steve Matthews,1,1.35,-1.28,-0.44,-1.84,-1.53,-1.53,0.61,0.98
Steve McNair,153,0.51,0.69,0.42,0.11,-0.48,-0.59,0.47,0.52
Steve Pelluer,30,0.42,0.65,0.11,-0.39,-0.32,-0.15,0.19,0.24
Steve Stenstrom,10,0.07,-0.57,-0.21,-1.36,-0.01,0.42,-0.7,-0.81
Steve Walsh,27,0.02,-0.22,0.21,-0.39,-0.13,-1.04,-0.24,-0.02
Steve Young,143,1.32,1.01,0.97,1.02,-0.62,0.13,1.37,1.16
Stoney Case,6,-1.23,-0.88,-1.18,-1.32,0.68,0.97,-1.36,-1.24
T.J. Rubley,7,0.09,-0.35,-0.1,0.48,-0.25,-0.15,0.5,0.52
T.J. Yates,10,-0.98,-1.03,-0.94,-0.19,-0.39,1.14,-0.39,-0.36
Tarvaris Jackson,34,-0.01,0.03,-0.28,-0.05,0.03,0.32,-0.07,-0.11
Taylor Heinicke,1,-0.37,-1.28,-2.02,-1.35,1.41,-1.25,-1.39,-1.2
Taysom Hill,5,-2.0,-1.34,-2.54,-1.8,-1.48,1.56,-0.11,0.57
Teddy Bridgewater,34,0.62,0.19,-0.19,-0.43,-0.28,0.7,0.19,-0.11
Terrelle Pryor,10,-0.82,-0.65,-1.17,-0.66,0.73,1.01,-0.9,-0.98
Terry Bradshaw,10,-0.29,0.33,0.18,2.4,-0.21,-0.62,1.07,1.31
Thaddeus Lewis,6,0.05,-1.13,-0.58,-0.89,-0.63,1.22,-0.1,-0.26
Tim Couch,59,0.39,0.34,0.14,0.05,0.26,0.55,0.02,-0.25
Tim Hasselbeck,5,-0.61,-0.67,-0.34,-0.47,0.36,-0.55,-0.64,-0.4
